,q
0,criollitas
1,galletitas chocolinas
2,arroz largo fino 1kg
3,harina trigo 1kg blancaflor 000
4,polenta prestopronta 500
5,fideos matarazzo mostachol
6,papa negra 1kg
7,pure tomate
8,azucar kg
9,mermelada 390
10,lentejas secas
11,cebolla 1kg
12,banana kg
13,carne picada
14,pate
15,jamon cocido
16,huevos blancos 6
17,leche entera serenisima lt
18,queso casancrem
19,yoghurt entero
20,manteca serenisima
21,aceite cocinero girasol
22,coca cola original
23,heineken
24,celusal
25,vinagre menoyo
26,cafe molido cabrales 500
27,yerba mate taragui
